sample_id,arm,grounding_s0,grounding_s1,grounding_s2,grounding_s3,mean_grounding_all,mean_grounding_deep,quality_deep,pairwise_quality_ours_vs_A3_winner,pairwise_quality_ours_vs_A2_winner
0801,A2,8,10,1,10,7.25,5.5,8,,
0801,A3,9,9,10,10,9.5,10,7,,
0801,ours,9,1,10,10,7.5,10,8,ours,A2
0802,A2,10,9,1,10,7.5,5.5,8,,
0802,A3,9,9,9,10,9.25,9.5,8,,
0802,ours,10,10,10,9,9.75,9.5,7,ours,ours
0803,A2,8,10,10,10,9.5,10,8,,
0803,A3,3,10,10,10,8.25,10,8,,
0803,ours,8,10,10,10,9.5,10,8,A3,ours
0804,A2,9,10,1,1,5.25,1,7,,
0804,A3,8,10,10,8,9,9,7,,
0804,ours,8,10,8,1,6.75,4.5,7,A3,ours
0805,A2,1,10,10,10,7.75,10,8,,
0805,A3,8,10,9,9,9,9,8,,
0805,ours,10,8,9,9,9,9,8,ours,A2
0806,A2,8,8,8,8,8,8,2,,
0806,A3,8,9,8,9,8.5,8.5,7,,
0806,ours,8,9,8,9,8.5,8.5,6,A3,A2
0807,A2,8,9,1,9,6.75,5,5,,
0807,A3,8,9,1,9,6.75,5,3,,
0807,ours,8,9,8,2,6.75,5,7,ours,A2
0808,A2,8,8,8,1,6.25,4.5,8,,
0808,A3,8,9,8,8,8.25,8,7,,
0808,ours,8,8,8,10,8.5,9,7,A3,ours
0809,A2,10,1,1,10,5.5,5.5,8,,
0809,A3,9,8,1,9,6.75,5,7,,
0809,ours,8,1,1,10,5,5.5,7,A3,A2
0810,A2,1,10,10,8,7.25,9,8,,
0810,A3,8,10,9,10,9.25,9.5,7,,
0810,ours,8,10,9,10,9.25,9.5,7,A3,A2
0811,A2,8,8,1,10,6.75,5.5,3,,
0811,A3,8,8,9,9,8.5,9,8,,
0811,ours,1,8,8,9,6.5,8.5,7,ours,A2
0812,A2,8,8,1,8,6.25,4.5,7,,
0812,A3,8,8,10,1,6.75,5.5,7,,
0812,ours,1,9,9,1,5,5,7,A3,A2
0813,A2,8,1,1,10,5,5.5,2,,
0813,A3,8,1,8,8,6.25,8,2,,
0813,ours,8,8,8,8,8,8,3,ours,ours
0814,A2,9,9,8,8,8.5,8,7,,
0814,A3,10,9,8,9,9,8.5,7,,
0814,ours,9,10,8,9,9,8.5,7,ours,A2
0815,A2,2,10,10,10,8,10,7,,
0815,A3,8,9,8,10,8.75,9,7,,
0815,ours,8,1,10,10,7.25,10,7,A3,A2
0816,A2,10,9,8,9,9,8.5,7,,
0816,A3,10,9,8,10,9.25,9,8,,
0816,ours,10,8,8,8,8.5,8,7,ours,A2
0817,A2,1,1,8,1,2.75,4.5,2,,
0817,A3,1,10,9,1,5.25,5,2,,
0817,ours,8,10,9,8,8.75,8.5,7,ours,A2
0818,A2,1,8,9,10,7,9.5,7,,
0818,A3,8,9,8,9,8.5,8.5,7,,
0818,ours,8,9,8,10,8.75,9,6,A3,ours
0819,A2,10,8,1,1,5,1,8,,
0819,A3,9,8,8,9,8.5,8.5,7,,
0819,ours,9,8,9,1,6.75,5,7,A3,ours
0820,A2,8,1,8,9,6.5,8.5,2,,
0820,A3,8,8,8,9,8.25,8.5,3,,
0820,ours,9,1,9,8,6.75,8.5,2,A3,ours
