arm,seed,image,niqe,musiq,maniqa,clipiqa,consistency,unique_token_ratio,vlm_grounding_all,vlm_grounding_deep,vlm_quality
A3_base_n100,0,0801,-5.327061572677179,57.64557647705078,0.3128466010093689,0.5715786814689636,0.7523592710494995,0.3835616438356164,9.5,10.0,7.0
A3_base_n100,0,0802,-6.635301454167785,43.32062530517578,0.5145228505134583,0.7241918444633484,0.8452677130699158,0.5,9.25,9.5,8.0
A3_base_n100,0,0803,-6.38275568201538,59.12934112548828,0.5860298275947571,0.7716813683509827,0.848251461982727,0.5735294117647058,8.25,10.0,8.0
A3_base_n100,0,0804,-7.20363575826791,51.06550979614258,0.36518266797065735,0.494230180978775,0.72998046875,0.5538461538461539,9.0,9.0,7.0
A3_base_n100,0,0805,-14.457530695578692,58.518043518066406,0.5095346570014954,0.6519126892089844,0.7852969765663147,0.4714285714285714,9.0,9.0,8.0
A3_base_n100,0,0806,-6.050065019892636,53.20143127441406,0.4063648581504822,0.5704560279846191,0.7602912187576294,0.6285714285714286,8.5,8.5,7.0
A3_base_n100,0,0807,-6.362749818303028,63.41262435913086,0.4108624756336212,0.7658433318138123,0.7620313167572021,0.5882352941176471,6.75,5.0,3.0
A3_base_n100,0,0808,-6.754156749011583,57.675907135009766,0.43354690074920654,0.7566494345664978,0.7412900328636169,0.6197183098591549,8.25,8.0,7.0
A3_base_n100,0,0809,-7.045998310793818,47.35287094116211,0.4086126685142517,0.39790019392967224,0.7744276523590088,0.5846153846153846,7.0,5.5,7.0
A3_base_n100,0,0810,-8.89980454120626,57.77873992919922,0.3617289364337921,0.5344513058662415,0.8045292496681213,0.4230769230769231,9.5,9.0,7.0
A3_base_n100,0,0811,-8.774046163685556,39.142478942871094,0.45833390951156616,0.6204381585121155,0.8429139852523804,0.6451612903225806,8.5,9.0,8.0
A3_base_n100,0,0812,-6.830846072812847,41.9656982421875,0.34671008586883545,0.3599894642829895,0.7489386796951294,0.734375,6.75,5.5,7.0
A3_base_n100,0,0813,-4.754508353535279,32.310001373291016,0.3923187851905823,0.37667715549468994,0.6830605268478394,0.7058823529411765,6.25,8.0,2.0
A3_base_n100,0,0814,-8.098673339156079,58.25274658203125,0.4240066707134247,0.3232811987400055,0.8507130146026611,0.4714285714285714,9.0,8.5,7.0
A3_base_n100,0,0815,-5.34841783749795,61.340545654296875,0.5567811131477356,0.773476779460907,0.8135724663734436,0.6571428571428571,8.75,9.0,7.0
A3_base_n100,0,0816,-6.702092645079522,65.32465362548828,0.37036800384521484,0.8236994743347168,0.7617537975311279,0.5362318840579711,9.25,9.0,8.0
A3_base_n100,0,0817,-9.31673874107822,37.90821838378906,0.4039638638496399,0.8036964535713196,0.8351035714149475,0.6666666666666666,5.25,5.0,2.0
A3_base_n100,0,0818,-4.908700345052868,56.012474060058594,0.3717135488986969,0.7262236475944519,0.7577722668647766,0.6944444444444444,8.5,8.5,7.0
A3_base_n100,0,0819,-12.353851159338811,53.40916442871094,0.40777257084846497,0.3900615870952606,0.6953909397125244,0.6461538461538462,8.5,8.5,7.0
A3_base_n100,0,0820,-4.64020356346199,57.50250244140625,0.35603970289230347,0.6217695474624634,0.7630858421325684,0.6901408450704225,8.25,8.5,3.0
A3_base_n100,0,0821,-14.35443320144718,22.498659133911133,0.2856885492801666,0.3922703266143799,0.847973108291626,0.647887323943662,4.75,4.5,1.0
A3_base_n100,0,0822,-7.617653519210182,62.6175422668457,0.44905349612236023,0.7343735694885254,0.8098134994506836,0.5230769230769231,9.25,10.0,2.0
A3_base_n100,0,0823,-12.66183816721724,36.73350524902344,0.4422145485877991,0.6299894452095032,0.7409931421279907,0.6811594202898551,7.0,4.5,1.0
A3_base_n100,0,0824,-5.790613893690221,58.59234619140625,0.43088412284851074,0.8150855898857117,0.7725749611854553,0.7142857142857143,8.0,8.0,8.0
A3_base_n100,0,0825,-4.659754571840739,51.61500549316406,0.19748876988887787,0.6160852909088135,0.7678195834159851,0.6567164179104478,8.75,9.0,7.0
A3_base_n100,0,0826,-4.706612410570236,53.83155059814453,0.39710530638694763,0.8339213728904724,0.7640286684036255,0.8507462686567164,9.0,8.0,7.0
A3_base_n100,0,0827,-12.341857575691158,33.1505241394043,0.266789972782135,0.5251874923706055,0.8389928340911865,0.5373134328358209,7.25,5.0,2.0
A3_base_n100,0,0828,-6.022030589113209,56.466209411621094,0.38464921712875366,0.673081636428833,0.846047043800354,0.5846153846153846,8.5,8.0,3.0
A3_base_n100,0,0829,-4.678110075406425,55.680511474609375,0.48885348439216614,0.678856611251831,0.7794731855392456,0.6363636363636364,6.75,9.0,7.0
A3_base_n100,0,0830,-8.677578723075042,44.30208206176758,0.3477182686328888,0.5129546523094177,0.7173344492912292,0.6666666666666666,8.75,8.5,3.0
A3_base_n100,0,0831,-7.553009520937612,64.23397064208984,0.49338847398757935,0.7788497805595398,0.7677329182624817,0.8235294117647058,5.25,5.5,8.0
A3_base_n100,0,0832,-11.022192975343954,27.786319732666016,0.3432157635688782,0.39376595616340637,0.7415387630462646,0.8507462686567164,5.75,4.5,2.0
A3_base_n100,0,0833,-19.12004959709019,22.65481948852539,0.43225303292274475,0.495269775390625,0.7635771036148071,0.7936507936507936,2.75,1.0,1.0
A3_base_n100,0,0834,-12.87745949292024,42.9739875793457,0.449529767036438,0.5538588762283325,0.7212730646133423,0.734375,7.25,5.5,8.0
A3_base_n100,0,0835,-5.768588987755789,59.083274841308594,0.4317094385623932,0.5406743884086609,0.8256831765174866,0.5522388059701493,9.0,8.5,8.0
A3_base_n100,0,0836,-5.748011825838374,54.42924880981445,0.4093630611896515,0.544888973236084,0.8120205402374268,0.6081081081081081,9.25,9.5,7.0
A3_base_n100,0,0837,-6.47481109694029,57.46321105957031,0.31091755628585815,0.8232536315917969,0.777528703212738,0.8448275862068966,8.75,9.0,2.0
A3_base_n100,0,0838,-7.648086511102558,57.1141471862793,0.38773423433303833,0.7100515365600586,0.794888973236084,0.49295774647887325,7.5,9.5,7.0
A3_base_n100,0,0839,-4.99883027686265,46.50575637817383,0.37226587533950806,0.5242870450019836,0.8367350697517395,0.5833333333333334,9.25,10.0,7.0
A3_base_n100,0,0840,-4.437127516495389,64.90188598632812,0.46649256348609924,0.6218534708023071,0.8763717412948608,0.48484848484848486,9.5,10.0,7.0
A3_base_n100,0,0841,-5.698633219361217,59.75065612792969,0.3794405460357666,0.6036214232444763,0.8487035632133484,0.65625,8.75,8.5,7.0
A3_base_n100,0,0842,-15.04582049389843,57.99293518066406,0.4998973309993744,0.6653282046318054,0.7419947385787964,0.5211267605633803,7.25,10.0,8.0
A3_base_n100,0,0843,-10.206507189669182,50.29518127441406,0.3598300814628601,0.5764294862747192,0.8307548761367798,0.6666666666666666,8.75,8.5,2.0
A3_base_n100,0,0844,-14.82566578343542,27.667600631713867,0.4148039221763611,0.612339198589325,0.7928668260574341,0.7352941176470589,3.5,5.5,1.0
A3_base_n100,0,0845,-21.42560607153026,22.561460494995117,0.43183666467666626,0.44296398758888245,0.8258514404296875,0.532258064516129,1.0,1.0,1.0
A3_base_n100,0,0846,-16.803463895083052,45.49980163574219,0.49572688341140747,0.6110679507255554,0.8303161263465881,0.5882352941176471,8.75,8.5,1.0
A3_base_n100,0,0847,-6.938381956712396,18.25859260559082,0.3167230486869812,0.5672099590301514,0.7690880298614502,0.6296296296296297,4.5,1.0,1.0
A3_base_n100,0,0848,-6.531187739806193,49.05555725097656,0.3968537449836731,0.4071751534938812,0.8041950464248657,0.6857142857142857,6.75,9.0,2.0
A3_base_n100,0,0849,-15.681940851298735,29.496686935424805,0.28359532356262207,0.3608933687210083,0.8677255511283875,0.5588235294117647,5.0,1.0,1.0
A3_base_n100,0,0850,-14.52595918030397,27.705902099609375,0.47419846057891846,0.5065943598747253,0.7020556926727295,0.7058823529411765,6.25,4.5,10.0
A3_base_n100,0,0851,-5.962648549076994,51.86787033081055,0.40137413144111633,0.6668694019317627,0.8005945682525635,0.6363636363636364,8.5,8.5,5.0
A3_base_n100,0,0852,-6.387983271566725,48.380271911621094,0.3333595395088196,0.47218719124794006,0.8166226148605347,0.6290322580645161,7.25,5.5,5.0
A3_base_n100,0,0853,-8.686366329769202,31.396434783935547,0.41447287797927856,0.5105388760566711,0.804501473903656,0.6,6.75,5.0,8.0
A3_base_n100,0,0854,-4.738130638478225,63.13570785522461,0.43879881501197815,0.8432455062866211,0.7942390441894531,0.5633802816901409,9.0,8.0,8.0
A3_base_n100,0,0855,-7.882393909896248,57.54954528808594,0.4052082896232605,0.465952068567276,0.7959370613098145,0.47297297297297297,9.25,10.0,8.0
A3_base_n100,0,0856,-4.977252541947833,66.69464874267578,0.41501274704933167,0.49567127227783203,0.8308663368225098,0.78125,7.0,5.0,7.0
A3_base_n100,0,0857,-8.2705995256658,48.0107536315918,0.4721587896347046,0.6552942395210266,0.8696416020393372,0.6323529411764706,7.0,5.5,3.0
A3_base_n100,0,0858,-6.548862047137253,50.949710845947266,0.4690138101577759,0.7143167853355408,0.833497166633606,0.6206896551724138,8.0,8.0,2.0
A3_base_n100,0,0859,-6.047670444516639,49.238624572753906,0.42587438225746155,0.7598668932914734,0.7788712382316589,0.676923076923077,7.25,9.5,3.0
A3_base_n100,0,0860,-8.677949265307564,48.733917236328125,0.4341837465763092,0.5798496603965759,0.7284164428710938,0.6615384615384615,6.75,4.5,8.0
A3_base_n100,0,0861,-6.3596800203932515,66.60408782958984,0.3758101165294647,0.395870566368103,0.8454188108444214,0.6363636363636364,9.0,9.0,6.0
A3_base_n100,0,0862,-8.468636753320947,61.431514739990234,0.39598700404167175,0.6647605299949646,0.8071184158325195,0.4782608695652174,7.0,8.5,8.0
A3_base_n100,0,0863,-9.819468526693692,67.62995147705078,0.46415701508522034,0.6442885398864746,0.7337885499000549,0.4864864864864865,9.5,9.5,7.0
A3_base_n100,0,0864,-5.407090008898294,61.3383674621582,0.4170266389846802,0.7222768664360046,0.7956695556640625,0.6111111111111112,9.5,9.5,7.0
A3_base_n100,0,0865,-5.65534759741654,66.00497436523438,0.41128525137901306,0.8152078986167908,0.7313261032104492,0.5909090909090909,9.25,9.5,7.0
A3_base_n100,0,0866,-12.547316511692811,52.02114486694336,0.45264482498168945,0.5693661570549011,0.7974338531494141,0.5441176470588235,7.5,9.5,5.0
A3_base_n100,0,0867,-4.871387761502,47.904842376708984,0.2644590437412262,0.45105215907096863,0.8389084339141846,0.6615384615384615,9.0,8.5,3.0
A3_base_n100,0,0868,-6.313830673363937,57.18614196777344,0.3836989402770996,0.6738547682762146,0.7676374912261963,0.7142857142857143,6.75,5.0,2.0
A3_base_n100,0,0869,-8.934878188367078,59.15822219848633,0.35665902495384216,0.536970317363739,0.8330960273742676,0.45588235294117646,8.5,8.5,8.0
A3_base_n100,0,0870,-4.098049239028715,62.46992874145508,0.3512380123138428,0.7020807266235352,0.7878447771072388,0.6176470588235294,8.75,9.0,7.0
A3_base_n100,0,0871,-12.62940030508133,52.08208084106445,0.44062814116477966,0.685630738735199,0.8337528705596924,0.696969696969697,6.5,5.0,7.0
A3_base_n100,0,0872,-6.005459552878881,66.2896499633789,0.386513352394104,0.7618532180786133,0.757965087890625,0.6349206349206349,8.25,8.5,7.0
A3_base_n100,0,0873,-9.202489429920758,48.90460968017578,0.4659479856491089,0.5576478242874146,0.779323935508728,0.6461538461538462,8.75,9.0,5.0
A3_base_n100,0,0874,-17.836198618786142,22.855180740356445,0.42605334520339966,0.5054544806480408,0.7471562027931213,0.7313432835820896,4.75,1.0,1.0
A3_base_n100,0,0875,-5.906120105259262,56.747589111328125,0.39125320315361023,0.7370337843894958,0.8352805972099304,0.7903225806451613,8.5,8.5,3.0
A3_base_n100,0,0876,-5.672920149075541,68.3327407836914,0.37122032046318054,0.8231191635131836,0.8389195203781128,0.5833333333333334,9.0,9.5,7.0
A3_base_n100,0,0877,-4.844473052843533,50.16562271118164,0.5341469049453735,0.6246631145477295,0.8979175090789795,0.5076923076923077,9.25,10.0,8.0
A3_base_n100,0,0878,-6.11554703358377,40.53546905517578,0.35410675406455994,0.43152520060539246,0.7977627515792847,0.6923076923076923,4.75,1.0,7.0
A3_base_n100,0,0879,-3.507376708014902,69.78129577636719,0.3524957299232483,0.7511670589447021,0.725104570388794,0.6461538461538462,8.75,9.0,7.0
A3_base_n100,0,0880,-5.809011047621563,65.94483947753906,0.40956005454063416,0.8168638348579407,0.7628778219223022,0.48717948717948717,7.25,9.5,5.0
A3_base_n100,0,0881,-8.350672537798841,54.44794464111328,0.3882313370704651,0.7958976030349731,0.8148850202560425,0.5070422535211268,8.25,8.0,2.0
A3_base_n100,0,0882,-12.21143735999948,27.291181564331055,0.41627228260040283,0.5891204476356506,0.7641464471817017,0.5342465753424658,7.25,5.5,2.0
A3_base_n100,0,0883,-5.8445641106670445,63.84805679321289,0.40482595562934875,0.8133638501167297,0.7437516450881958,0.5428571428571428,9.25,10.0,5.0
A3_base_n100,0,0884,-6.7156219295112685,66.2697525024414,0.4503987431526184,0.7569867372512817,0.7607189416885376,0.6557377049180327,9.0,9.0,8.0
A3_base_n100,0,0885,-7.726558474184477,46.884151458740234,0.37908634543418884,0.5376318097114563,0.8242892026901245,0.4,9.75,10.0,6.0
A3_base_n100,0,0886,-6.957746877840674,68.4166488647461,0.5083553194999695,0.8041179776191711,0.7853032350540161,0.515625,7.5,5.5,8.0
A3_base_n100,0,0887,-6.0356474403015445,54.63629913330078,0.41954952478408813,0.7757846713066101,0.7734960913658142,0.6666666666666666,8.5,8.5,7.0
A3_base_n100,0,0888,-13.33478072478551,36.995582580566406,0.3913661241531372,0.5540584921836853,0.7586095333099365,0.7183098591549296,6.25,4.5,1.0
A3_base_n100,0,0889,-9.084316242436255,59.587730407714844,0.5116074681282043,0.6990458369255066,0.7960877418518066,0.7352941176470589,7.0,9.5,7.0
A3_base_n100,0,0890,-3.8001056633198016,53.59525680541992,0.26736775040626526,0.5874188542366028,0.7542137503623962,0.7121212121212122,9.0,9.0,7.0
A3_base_n100,0,0891,-11.690406529294952,23.47273826599121,0.4029392898082733,0.4207901060581207,0.6723490953445435,0.7916666666666666,8.75,9.0,1.0
A3_base_n100,0,0892,-15.466375458647024,24.00226402282715,0.47395262122154236,0.4535152018070221,0.8373911380767822,0.6363636363636364,6.75,4.5,1.0
A3_base_n100,0,0893,-13.481874806826221,20.807161331176758,0.3469163775444031,0.3260331451892853,0.8450981378555298,0.5694444444444444,1.0,1.0,1.0
A3_base_n100,0,0894,-12.46566303155506,46.777015686035156,0.4135805368423462,0.4304982125759125,0.7896879315376282,0.6060606060606061,8.25,9.5,5.0
A3_base_n100,0,0895,-7.153317235163679,67.59020233154297,0.48885053396224976,0.885951817035675,0.7711365818977356,0.5588235294117647,8.75,8.0,7.0
A3_base_n100,0,0896,-11.270716749989358,48.42644500732422,0.3980678617954254,0.5563101172447205,0.8072950839996338,0.5131578947368421,9.75,10.0,6.0
A3_base_n100,0,0897,-5.43701350246938,34.36827087402344,0.2966808080673218,0.36432114243507385,0.8161617517471313,0.6666666666666666,7.25,5.0,5.0
A3_base_n100,0,0898,-4.77095951448312,55.76376724243164,0.46428295969963074,0.8687562942504883,0.8350380063056946,0.582089552238806,7.5,5.0,6.0
A3_base_n100,0,0899,-6.476424154144683,62.34674835205078,0.5677486062049866,0.7251559495925903,0.9118725061416626,0.4393939393939394,9.75,10.0,8.0
A3_base_n100,0,0900,-17.42019249744953,22.64855194091797,0.4069634675979614,0.4169601500034332,0.8206741809844971,0.6619718309859155,6.25,4.5,1.0
