arm,seed,image,niqe,musiq,maniqa,clipiqa,consistency,unique_token_ratio,vlm_grounding_all,vlm_grounding_deep,vlm_quality
C0_control,0,0801,-5.015844914729981,54.17660903930664,0.3093503713607788,0.6812885999679565,0.7844589948654175,0.6857142857142857,4.5,4.5,7.0
C0_control,0,0802,-5.914238375801047,53.47322463989258,0.5589280724525452,0.7405588030815125,0.8427614569664001,0.6056338028169014,9.0,10.0,8.0
C0_control,0,0803,-6.331795620733349,60.765682220458984,0.5776106715202332,0.7827972769737244,0.8374945521354675,0.5070422535211268,9.25,10.0,8.0
C0_control,0,0804,-6.208489554004544,55.741416931152344,0.33876994252204895,0.5772857069969177,0.7321652173995972,0.4857142857142857,7.75,8.5,6.0
C0_control,0,0805,-14.023286822749055,60.01449966430664,0.5179166197776794,0.6720518469810486,0.788918673992157,0.578125,6.5,8.5,8.0
C0_control,0,0806,-5.05992325595041,54.04938507080078,0.2665400505065918,0.49347591400146484,0.7444574236869812,0.6292134831460674,5.25,4.5,2.0
C0_control,0,0807,-7.238281611295495,59.120574951171875,0.4280959665775299,0.7723492980003357,0.7572532892227173,0.7464788732394366,4.75,1.5,7.0
C0_control,0,0808,-8.975913079112432,54.105064392089844,0.40222883224487305,0.7141047716140747,0.7215362191200256,0.6781609195402298,8.25,8.5,8.0
C0_control,0,0809,-7.787159398221209,51.871543884277344,0.4014272093772888,0.4222695827484131,0.7928088903427124,0.5,8.75,8.5,8.0
C0_control,0,0810,-7.110991918794877,56.92147445678711,0.3336743116378784,0.5224000215530396,0.8031661510467529,0.34375,9.25,9.0,7.0
C0_control,0,0811,-6.634947847534818,48.33943557739258,0.35781311988830566,0.530974805355072,0.8184718489646912,0.6231884057971014,9.25,8.5,3.0
C0_control,0,0812,-8.418822375034749,46.84273147583008,0.34828346967697144,0.34142303466796875,0.721195638179779,0.6122448979591837,6.25,4.5,2.0
C0_control,0,0813,-4.568193992707454,43.91951370239258,0.3454538583755493,0.3814854323863983,0.7075800895690918,0.6790123456790124,6.25,4.5,2.0
C0_control,0,0814,-7.19878297035777,57.934181213378906,0.40910348296165466,0.425141304731369,0.8372464776039124,0.6206896551724138,8.5,8.5,7.0
C0_control,0,0815,-6.034400505894626,62.71135711669922,0.5089519619941711,0.6666191816329956,0.8018069267272949,0.6,8.5,8.5,2.0
C0_control,0,0816,-4.780280637547687,64.72992706298828,0.3792921006679535,0.7818401455879211,0.7839230895042419,0.7213114754098361,5.0,4.5,7.0
C0_control,0,0817,-6.873682806987016,53.01177978515625,0.43216782808303833,0.8099945187568665,0.8219954967498779,0.6235294117647059,8.0,8.0,7.0
C0_control,0,0818,-6.1937334169303435,53.63909149169922,0.4076637923717499,0.7832903265953064,0.7666808366775513,0.6,5.25,5.5,8.0
C0_control,0,0819,-9.649200097219031,51.02895736694336,0.373566210269928,0.3368375897407532,0.7054486274719238,0.6231884057971014,6.5,4.5,5.0
C0_control,0,0820,-3.7888566847960234,53.958065032958984,0.2853669822216034,0.7015486359596252,0.7571201324462891,0.6031746031746031,6.25,4.5,3.0
C0_control,0,0821,-18.27123236124092,22.48296356201172,0.331511914730072,0.3851741850376129,0.8364259004592896,0.6935483870967742,5.0,5.5,1.0
C0_control,0,0822,-7.085791300569713,62.29937744140625,0.4116654694080353,0.6971419453620911,0.7986748814582825,0.5972222222222222,8.0,8.0,6.0
C0_control,0,0823,-8.740534818155632,42.01972198486328,0.4857902526855469,0.6834740042686462,0.7625585794448853,0.7285714285714285,6.5,4.5,1.0
C0_control,0,0824,-7.563927870704298,44.14988708496094,0.434157133102417,0.498896986246109,0.8523045182228088,0.7241379310344828,6.25,4.5,2.0
C0_control,0,0825,-3.8310714985588827,59.614505767822266,0.30481112003326416,0.7184453010559082,0.7333889007568359,0.6428571428571429,6.5,5.0,8.0
C0_control,0,0826,-4.198804683059547,53.09779357910156,0.38180193305015564,0.7831208109855652,0.7564810514450073,0.6388888888888888,8.0,8.0,5.0
C0_control,0,0827,-5.8926317767079315,52.1073112487793,0.3937722444534302,0.4584668278694153,0.8131924867630005,0.5368421052631579,7.75,8.0,2.0
C0_control,0,0828,-4.970877748391185,51.279178619384766,0.36389872431755066,0.4810360074043274,0.8384054899215698,0.6615384615384615,8.5,9.0,5.0
C0_control,0,0829,-4.414551220065852,57.161407470703125,0.5006597638130188,0.70298832654953,0.7840570211410522,0.5465116279069767,8.5,9.0,8.0
C0_control,0,0830,-7.284005590901336,40.94532775878906,0.3854283094406128,0.6184232234954834,0.7213240265846252,0.6823529411764706,6.5,4.5,3.0
