arm,seed,image,niqe,musiq,maniqa,clipiqa,consistency,unique_token_ratio,vlm_grounding_all,vlm_grounding_deep,vlm_quality
C0_control_n100,0,0801,-7.932512071330138,46.81774139404297,0.27374687790870667,0.5444830060005188,0.7894499897956848,0.6805555555555556,4.5,4.5,7.0
C0_control_n100,0,0802,-5.418803024622509,52.60463333129883,0.5590739250183105,0.7579331994056702,0.8439590930938721,0.6142857142857143,8.75,9.5,8.0
C0_control_n100,0,0803,-5.498187331937187,62.8931999206543,0.582116961479187,0.7958455085754395,0.8546704649925232,0.4777777777777778,9.0,10.0,8.0
C0_control_n100,0,0804,-5.700034071174232,52.654998779296875,0.3241463303565979,0.49072685837745667,0.7298592329025269,0.45348837209302323,8.5,9.5,6.0
C0_control_n100,0,0805,-16.48541490337102,59.975799560546875,0.516099750995636,0.6854755878448486,0.7894164323806763,0.5172413793103449,6.5,8.5,8.0
C0_control_n100,0,0806,-4.459307613828599,54.143795013427734,0.3100842535495758,0.6535903811454773,0.7531450390815735,0.6601941747572816,6.5,4.5,5.0
C0_control_n100,0,0807,-6.392619077925286,55.61630630493164,0.42248353362083435,0.7688113451004028,0.7620354890823364,0.5569620253164557,4.5,1.5,3.0
C0_control_n100,0,0808,-7.713251926124859,52.71678924560547,0.35529574751853943,0.6408753395080566,0.698449969291687,0.6172839506172839,8.0,9.0,8.0
C0_control_n100,0,0809,-8.322728480027964,52.215972900390625,0.4115506708621979,0.37135061621665955,0.7861061096191406,0.6103896103896104,8.5,9.0,8.0
C0_control_n100,0,0810,-7.672884235017461,57.049739837646484,0.33258429169654846,0.5598492622375488,0.802837073802948,0.37,9.25,9.0,7.0
C0_control_n100,0,0811,-6.285422497957527,43.722015380859375,0.36769968271255493,0.5378935933113098,0.825412929058075,0.6376811594202898,9.0,8.5,2.0
C0_control_n100,0,0812,-6.569756424533496,47.53279495239258,0.3580097258090973,0.3242405354976654,0.7216705083847046,0.65,6.25,4.5,2.0
C0_control_n100,0,0813,-5.840560523878783,43.49245834350586,0.3936372697353363,0.34756946563720703,0.6751235723495483,0.6533333333333333,6.25,4.5,3.0
C0_control_n100,0,0814,-8.28620393713503,56.00300979614258,0.39916959404945374,0.3374326825141907,0.8293745517730713,0.6794871794871795,8.25,8.0,7.0
C0_control_n100,0,0815,-6.164104474892523,62.85719299316406,0.5185427069664001,0.7248601913452148,0.8028275966644287,0.5568181818181818,8.5,8.5,7.0
C0_control_n100,0,0816,-4.856509402719438,64.82865905761719,0.3760010004043579,0.7973341345787048,0.7847659587860107,0.7014925373134329,5.0,4.5,7.0
C0_control_n100,0,0817,-6.834461280817675,52.46885299682617,0.4108195900917053,0.77372145652771,0.8148090839385986,0.6363636363636364,6.25,8.0,7.0
C0_control_n100,0,0818,-6.1749098230292825,51.89727020263672,0.3760558068752289,0.7613543272018433,0.7585443258285522,0.6049382716049383,6.5,8.0,8.0
C0_control_n100,0,0819,-9.856463219456778,56.26909255981445,0.39904671907424927,0.366967111825943,0.6969966888427734,0.625,8.75,9.0,7.0
C0_control_n100,0,0820,-4.04486738850028,54.84144973754883,0.3082682490348816,0.7215487360954285,0.755916953086853,0.53125,5.25,2.5,2.0
C0_control_n100,0,0821,-18.27498165951831,22.690309524536133,0.3279467225074768,0.37810802459716797,0.8362671136856079,0.6621621621621622,1.0,1.0,1.0
C0_control_n100,0,0822,-8.533479776529969,62.105403900146484,0.4299088716506958,0.7566319704055786,0.7847836017608643,0.5652173913043478,8.5,9.0,7.0
C0_control_n100,0,0823,-9.045586919545963,38.416358947753906,0.5048506259918213,0.666093647480011,0.7553784847259521,0.7435897435897436,6.5,4.5,1.0
C0_control_n100,0,0824,-8.045472726063155,43.76228332519531,0.4454268515110016,0.5215732455253601,0.849872887134552,0.7142857142857143,6.25,4.5,2.0
C0_control_n100,0,0825,-3.868194476257521,55.664005279541016,0.2919839918613434,0.6758220791816711,0.7390871047973633,0.5903614457831325,8.75,9.5,7.0
C0_control_n100,0,0826,-4.138764945547167,56.14583206176758,0.38818493485450745,0.752716600894928,0.767493724822998,0.7083333333333334,6.5,8.5,4.0
C0_control_n100,0,0827,-6.245193791619477,49.41812515258789,0.3890407681465149,0.40828633308410645,0.8072869777679443,0.5483870967741935,6.0,5.0,3.0
C0_control_n100,0,0828,-5.159716416691624,48.8154182434082,0.3672961890697479,0.4734109938144684,0.8280050754547119,0.5822784810126582,6.75,9.0,5.0
C0_control_n100,0,0829,-4.507263042229547,57.168251037597656,0.5053012371063232,0.6969092488288879,0.7847267389297485,0.5057471264367817,8.0,8.0,7.0
C0_control_n100,0,0830,-7.273460945303942,42.82490921020508,0.3986298739910126,0.6435815095901489,0.7248620986938477,0.6097560975609756,6.5,4.0,7.0
C0_control_n100,0,0831,-7.156306036994551,61.89680480957031,0.417831689119339,0.5541202425956726,0.7780026197433472,0.6323529411764706,7.75,9.5,8.0
C0_control_n100,0,0832,-6.623824623512251,48.476287841796875,0.3059121072292328,0.6073906421661377,0.7184222340583801,0.7555555555555555,4.5,1.0,5.0
C0_control_n100,0,0833,-20.717635084664686,22.7557373046875,0.43124106526374817,0.5273014903068542,0.7640807628631592,0.5753424657534246,2.75,1.0,1.0
C0_control_n100,0,0834,-4.499692380298606,53.4813346862793,0.38833144307136536,0.6387254595756531,0.7256578207015991,0.7349397590361446,8.25,8.5,7.0
C0_control_n100,0,0835,-6.168932433718858,59.313453674316406,0.4026091396808624,0.5302246809005737,0.8270207643508911,0.6060606060606061,8.5,8.0,8.0
C0_control_n100,0,0836,-6.680102688792837,53.58248519897461,0.41364961862564087,0.5803757905960083,0.7901058793067932,0.6666666666666666,7.0,8.5,8.0
C0_control_n100,0,0837,-7.533358125957248,56.720672607421875,0.3302091360092163,0.8338515162467957,0.7765017747879028,0.6779661016949152,6.0,4.5,5.0
C0_control_n100,0,0838,-6.643277171514222,58.55689239501953,0.3089440166950226,0.6257408261299133,0.7662018537521362,0.325,8.75,8.5,7.0
C0_control_n100,0,0839,-4.543601420298822,49.363319396972656,0.3434044122695923,0.5622403025627136,0.839905858039856,0.6721311475409836,8.75,9.0,7.0
C0_control_n100,0,0840,-5.311170704949258,60.12112808227539,0.44803786277770996,0.626873791217804,0.8624760508537292,0.527027027027027,8.75,9.0,8.0
C0_control_n100,0,0841,-5.574610633815834,58.42781448364258,0.42396557331085205,0.7311931252479553,0.7897567749023438,0.7088607594936709,9.0,9.5,5.0
C0_control_n100,0,0842,-10.12401664335642,59.55333709716797,0.5000564455986023,0.7320308685302734,0.7529237270355225,0.5857142857142857,7.0,8.5,8.0
C0_control_n100,0,0843,-6.358597198043811,57.73040771484375,0.35175567865371704,0.5252448916435242,0.8360809087753296,0.6527777777777778,8.25,8.0,2.0
C0_control_n100,0,0844,-14.374079495809445,26.54093360900879,0.41187921166419983,0.6062611937522888,0.8210321068763733,0.6951219512195121,2.75,1.0,1.0
C0_control_n100,0,0845,-29.30812188294139,22.66582489013672,0.4300142824649811,0.46083971858024597,0.8260419964790344,0.4,1.0,1.0,1.0
C0_control_n100,0,0846,-16.6752744652096,37.29874038696289,0.49647262692451477,0.5770456194877625,0.8261843919754028,0.6338028169014085,5.25,3.5,1.0
C0_control_n100,0,0847,-8.802928776210214,19.553417205810547,0.33988064527511597,0.42152139544487,0.775875985622406,0.8208955223880597,8.5,9.0,7.0
C0_control_n100,0,0848,-6.587869941257596,41.49319076538086,0.34532564878463745,0.3355492055416107,0.7900116443634033,0.8208955223880597,6.25,4.5,2.0
C0_control_n100,0,0849,-16.026208612100227,34.7421760559082,0.2906547784805298,0.4147036671638489,0.8623098134994507,0.6708860759493671,4.5,1.0,1.0
C0_control_n100,0,0850,-13.84446508180413,26.617786407470703,0.4192662835121155,0.5465828776359558,0.662442684173584,0.8125,8.5,9.0,10.0
C0_control_n100,0,0851,-10.27604754739104,55.96328353881836,0.4315246641635895,0.6605627536773682,0.8100835084915161,0.5897435897435898,7.5,7.0,7.0
C0_control_n100,0,0852,-8.336376725080255,49.71919250488281,0.3389805853366852,0.2604617774486542,0.8313954472541809,0.6438356164383562,8.5,9.0,5.0
C0_control_n100,0,0853,-7.598617184269195,48.04691696166992,0.42102503776550293,0.4763847887516022,0.7947437167167664,0.5529411764705883,8.25,8.0,3.0
C0_control_n100,0,0854,-6.414325221850723,60.05669403076172,0.4791645109653473,0.8698567748069763,0.7894569635391235,0.7037037037037037,7.75,8.0,7.0
C0_control_n100,0,0855,-6.904816498428401,58.12519454956055,0.41601696610450745,0.5112069249153137,0.78859543800354,0.4888888888888889,8.75,9.0,8.0
C0_control_n100,0,0856,-5.344887939828168,64.32179260253906,0.3925617039203644,0.6670006513595581,0.8478899002075195,0.5652173913043478,4.25,5.0,7.0
C0_control_n100,0,0857,-9.782887768299922,52.63505554199219,0.41167300939559937,0.6357978582382202,0.8402866125106812,0.5862068965517241,7.0,5.5,3.0
C0_control_n100,0,0858,-7.528461681982902,55.00146484375,0.532209038734436,0.7791462540626526,0.8317710757255554,0.8055555555555556,8.5,9.0,7.0
C0_control_n100,0,0859,-5.0504298971924095,55.05625915527344,0.473230242729187,0.6297244429588318,0.7887656092643738,0.4675324675324675,8.75,9.0,7.0
C0_control_n100,0,0860,-9.996737138969856,45.216949462890625,0.40402108430862427,0.6187453866004944,0.7317870855331421,0.5555555555555556,6.5,5.0,8.0
