arm,seed,image,niqe,musiq,maniqa,clipiqa,consistency,unique_token_ratio,vlm_grounding_all,vlm_grounding_deep,vlm_quality
A2,0,0801,-6.304709108186502,58.5327262878418,0.32809728384017944,0.6471318602561951,0.7635118365287781,0.9130434782608695,7.25,5.5,8.0
A2,0,0802,-5.744318908350704,42.173336029052734,0.5140905380249023,0.7217022776603699,0.8413505554199219,0.8,7.5,5.5,8.0
A2,0,0803,-6.299582733875023,58.552894592285156,0.5771266222000122,0.7708472609519958,0.8243690133094788,0.6590909090909091,9.5,10.0,8.0
A2,0,0804,-8.08301678751484,52.3365592956543,0.3683259189128876,0.46148595213890076,0.7318252325057983,0.4444444444444444,5.25,1.0,7.0
A2,0,0805,-15.984377575236863,59.59550094604492,0.5261204242706299,0.6751417517662048,0.7758642435073853,0.6,7.75,10.0,8.0
A2,0,0806,-5.577009607539677,53.40126037597656,0.28202223777770996,0.5347297191619873,0.7749968767166138,0.6666666666666666,7.5,8.0,2.0
A2,0,0807,-6.7109471954102515,59.534912109375,0.4038633704185486,0.7648837566375732,0.7592197060585022,0.6,7.0,5.0,5.0
A2,0,0808,-7.0480650496318225,61.64814758300781,0.44510912895202637,0.7548424601554871,0.7433875203132629,0.8,6.25,4.5,8.0
A2,0,0809,-9.11749824644172,49.39906311035156,0.3893335163593292,0.41240784525871277,0.7749114632606506,0.8,5.5,5.5,8.0
A2,0,0810,-7.332178815085565,57.4081916809082,0.3403274714946747,0.5162957310676575,0.804703950881958,0.5151515151515151,7.25,9.0,8.0
A2,0,0811,-9.841199177582588,33.599613189697266,0.45112350583076477,0.5689186453819275,0.8408589363098145,0.4642857142857143,6.75,5.5,3.0
A2,0,0812,-5.641819088435253,45.45160675048828,0.44824904203414917,0.48459798097610474,0.7448582649230957,0.8478260869565217,6.25,4.5,7.0
A2,0,0813,-6.000911790627107,34.126319885253906,0.38071325421333313,0.535430371761322,0.7013139128684998,0.25806451612903225,5.0,5.5,2.0
A2,0,0814,-7.00179869559719,59.6297721862793,0.39633890986442566,0.4460177421569824,0.8346961140632629,0.6666666666666666,8.5,8.0,7.0
A2,0,0815,-5.99065983157281,60.84624099731445,0.5194634199142456,0.7675784826278687,0.8025946617126465,1.0,8.0,10.0,7.0
A2,0,0816,-6.4321653980952975,64.42567443847656,0.36626264452934265,0.7975596785545349,0.7864375114440918,0.4430379746835443,9.0,8.5,7.0
A2,0,0817,-8.32407752606513,41.75679016113281,0.3902309536933899,0.6949111223220825,0.8211738467216492,0.9574468085106383,2.75,4.5,2.0
A2,0,0818,-5.00845496407426,57.7819938659668,0.3771975338459015,0.7335744500160217,0.7649344205856323,0.7142857142857143,7.0,9.5,7.0
A2,0,0819,-12.446243804635717,51.26740646362305,0.3879225254058838,0.42949485778808594,0.7004977464675903,0.7692307692307693,5.0,1.0,8.0
A2,0,0820,-4.7366523222030175,57.38669967651367,0.28890448808670044,0.5234684348106384,0.7462241649627686,0.7333333333333333,6.5,8.5,2.0
A2,0,0821,-14.38182693099402,22.86487579345703,0.2972624897956848,0.4350660443305969,0.8463479280471802,0.9615384615384616,2.75,1.0,1.0
A2,0,0822,-6.874878837547786,62.046409606933594,0.43015506863594055,0.7802433967590332,0.8053257465362549,0.4782608695652174,9.0,10.0,5.0
A2,0,0823,-15.254045194220494,32.637020111083984,0.4214394688606262,0.6340997815132141,0.7405791878700256,0.7428571428571429,6.75,4.5,1.0
A2,0,0824,-6.508108964976411,49.85750961303711,0.42986202239990234,0.6528995633125305,0.8423444032669067,0.8823529411764706,7.75,10.0,5.0
A2,0,0825,-5.2676682667010475,52.38014602661133,0.26380443572998047,0.738442599773407,0.7322172522544861,0.9310344827586207,9.0,10.0,3.0
A2,0,0826,-5.464757045295576,60.51052474975586,0.37091097235679626,0.7171365022659302,0.7471152544021606,0.618421052631579,7.0,5.0,4.0
A2,0,0827,-7.983564955842888,34.16328811645508,0.40253257751464844,0.546671986579895,0.8237823247909546,0.5185185185185185,7.25,4.5,2.0
A2,0,0828,-7.873849573544944,61.4345588684082,0.3769100308418274,0.350080281496048,0.8818128705024719,0.6481481481481481,4.5,8.0,2.0
A2,0,0829,-5.072491742365168,56.33323287963867,0.4205976724624634,0.5146700739860535,0.7849042415618896,0.7142857142857143,7.75,10.0,8.0
A2,0,0830,-9.535288823659926,39.105804443359375,0.2994493246078491,0.30797234177589417,0.7146522402763367,0.7941176470588235,6.5,4.5,2.0
