arm,seed,image,niqe,musiq,maniqa,clipiqa,consistency,unique_token_ratio,vlm_grounding_all,vlm_grounding_deep,vlm_quality
abl_base,0,0801,-5.327061572677179,57.64557647705078,0.3128466010093689,0.5715786814689636,0.7523592710494995,0.3835616438356164,9.5,10.0,7.0
abl_base,0,0802,-6.635301454167785,43.32062530517578,0.5145228505134583,0.7241918444633484,0.8452677130699158,0.5,9.25,9.5,8.0
abl_base,0,0803,-6.38275568201538,59.12934112548828,0.5860298275947571,0.7716813683509827,0.848251461982727,0.5735294117647058,8.25,10.0,8.0
abl_base,0,0804,-7.20363575826791,51.06550979614258,0.36518266797065735,0.494230180978775,0.72998046875,0.5538461538461539,9.0,9.0,7.0
abl_base,0,0805,-14.457530695578692,58.518043518066406,0.5095346570014954,0.6519126892089844,0.7852969765663147,0.4714285714285714,9.0,9.0,8.0
abl_base,0,0806,-6.050065019892636,53.20143127441406,0.4063648581504822,0.5704560279846191,0.7602912187576294,0.6285714285714286,8.5,8.5,7.0
abl_base,0,0807,-6.362749818303028,63.41262435913086,0.4108624756336212,0.7658433318138123,0.7620313167572021,0.5882352941176471,6.75,5.0,3.0
abl_base,0,0808,-6.754156749011583,57.675907135009766,0.43354690074920654,0.7566494345664978,0.7412900328636169,0.6197183098591549,8.25,8.0,7.0
abl_base,0,0809,-7.045998310793818,47.35287094116211,0.4086126685142517,0.39790019392967224,0.7744276523590088,0.5846153846153846,7.0,5.5,7.0
abl_base,0,0810,-8.89980454120626,57.77873992919922,0.3617289364337921,0.5344513058662415,0.8045292496681213,0.4230769230769231,9.5,9.0,7.0
abl_base,0,0811,-8.774046163685556,39.142478942871094,0.45833390951156616,0.6204381585121155,0.8429139852523804,0.6451612903225806,8.5,9.0,8.0
abl_base,0,0812,-6.830846072812847,41.9656982421875,0.34671008586883545,0.3599894642829895,0.7489386796951294,0.734375,6.75,5.5,7.0
abl_base,0,0813,-4.754508353535279,32.310001373291016,0.3923187851905823,0.37667715549468994,0.6830605268478394,0.7058823529411765,6.25,8.0,2.0
abl_base,0,0814,-8.098673339156079,58.25274658203125,0.4240066707134247,0.3232811987400055,0.8507130146026611,0.4714285714285714,9.0,8.5,7.0
abl_base,0,0815,-5.34841783749795,61.340545654296875,0.5567811131477356,0.773476779460907,0.8135724663734436,0.6571428571428571,8.75,9.0,7.0
abl_base,0,0816,-6.702092645079522,65.32465362548828,0.37036800384521484,0.8236994743347168,0.7617537975311279,0.5362318840579711,9.25,9.0,8.0
abl_base,0,0817,-9.31673874107822,37.90821838378906,0.4039638638496399,0.8036964535713196,0.8351035714149475,0.6666666666666666,5.25,5.0,2.0
abl_base,0,0818,-4.908700345052868,56.012474060058594,0.3717135488986969,0.7262236475944519,0.7577722668647766,0.6944444444444444,8.5,8.5,7.0
abl_base,0,0819,-12.353851159338811,53.40916442871094,0.40777257084846497,0.3900615870952606,0.6953909397125244,0.6461538461538462,8.5,8.5,7.0
abl_base,0,0820,-4.64020356346199,57.50250244140625,0.35603970289230347,0.6217695474624634,0.7630858421325684,0.6901408450704225,8.25,8.5,3.0
abl_base,0,0821,-14.35443320144718,22.498659133911133,0.2856885492801666,0.3922703266143799,0.847973108291626,0.647887323943662,4.75,4.5,1.0
abl_base,0,0822,-7.617653519210182,62.6175422668457,0.44905349612236023,0.7343735694885254,0.8098134994506836,0.5230769230769231,9.25,10.0,2.0
abl_base,0,0823,-12.66183816721724,36.73350524902344,0.4422145485877991,0.6299894452095032,0.7409931421279907,0.6811594202898551,7.0,4.5,1.0
abl_base,0,0824,-5.790613893690221,58.59234619140625,0.43088412284851074,0.8150855898857117,0.7725749611854553,0.7142857142857143,8.0,8.0,8.0
abl_base,0,0825,-4.659754571840739,51.61500549316406,0.19748876988887787,0.6160852909088135,0.7678195834159851,0.6567164179104478,8.75,9.0,7.0
abl_base,0,0826,-4.706612410570236,53.83155059814453,0.39710530638694763,0.8339213728904724,0.7640286684036255,0.8507462686567164,9.0,8.0,7.0
abl_base,0,0827,-12.341857575691158,33.1505241394043,0.266789972782135,0.5251874923706055,0.8389928340911865,0.5373134328358209,7.25,5.0,2.0
abl_base,0,0828,-6.022030589113209,56.466209411621094,0.38464921712875366,0.673081636428833,0.846047043800354,0.5846153846153846,8.5,8.0,3.0
abl_base,0,0829,-4.678110075406425,55.680511474609375,0.48885348439216614,0.678856611251831,0.7794731855392456,0.6363636363636364,6.75,9.0,7.0
abl_base,0,0830,-8.677578723075042,44.30208206176758,0.3477182686328888,0.5129546523094177,0.7173344492912292,0.6666666666666666,8.75,8.5,3.0
