arm,seed,image,niqe,musiq,maniqa,clipiqa,consistency,unique_token_ratio,vlm_grounding_all,vlm_grounding_deep,vlm_quality
w4v2,0,0801,-5.869839130020727,54.76757049560547,0.27609169483184814,0.6646829843521118,0.773227334022522,0.6296296296296297,7.25,10.0,8.0
w4v2,0,0802,-7.086206855420985,43.8983154296875,0.5095921754837036,0.6395707130432129,0.8414628505706787,0.8,9.75,9.5,7.0
w4v2,0,0803,-6.491886703683055,58.075748443603516,0.5787668228149414,0.7927746176719666,0.8442937731742859,0.696969696969697,9.5,10.0,8.0
w4v2,0,0804,-7.064645220312581,52.28099060058594,0.34181568026542664,0.5351468324661255,0.7278653383255005,0.72,6.75,4.5,7.0
w4v2,0,0805,-15.415426064888306,58.96100616455078,0.5136096477508545,0.6450298428535461,0.792554497718811,0.5652173913043478,9.0,9.0,8.0
w4v2,0,0806,-6.7649364779310375,48.46776580810547,0.36191225051879883,0.5193360447883606,0.7469518184661865,0.6417910447761194,8.5,8.5,6.0
w4v2,0,0807,-6.765648002645146,57.4462776184082,0.4391767382621765,0.7899765968322754,0.7710682153701782,0.6507936507936508,6.5,4.5,7.0
w4v2,0,0808,-6.136392684535737,59.76047134399414,0.4187421202659607,0.7636231780052185,0.731887698173523,0.6888888888888889,8.5,9.0,7.0
w4v2,0,0809,-7.627257107647698,48.1239128112793,0.38638585805892944,0.35138705372810364,0.7929185628890991,0.9,5.0,5.5,7.0
w4v2,0,0810,-7.395381214384942,55.590030670166016,0.35730674862861633,0.5443205833435059,0.8003332614898682,0.6923076923076923,9.25,9.5,7.0
w4v2,0,0811,-8.609109423279863,41.8215217590332,0.4556836187839508,0.6162949204444885,0.847099244594574,0.6363636363636364,6.5,8.5,7.0
w4v2,0,0812,-8.679073547128347,43.69382095336914,0.3231200873851776,0.3930806517601013,0.7575051784515381,0.5,5.25,5.5,7.0
w4v2,0,0813,-5.592833046472875,37.23806381225586,0.3863140046596527,0.31954440474510193,0.6709458827972412,0.6266666666666667,8.0,8.0,3.0
w4v2,0,0814,-8.073454096181552,57.988525390625,0.42358261346817017,0.4610006809234619,0.8392143249511719,0.5074626865671642,9.0,8.5,7.0
w4v2,0,0815,-5.629210560693124,58.84132385253906,0.5454659461975098,0.7373197674751282,0.8047263026237488,0.6739130434782609,7.25,10.0,7.0
w4v2,0,0816,-5.57743925481909,65.12805938720703,0.3672933578491211,0.8001212477684021,0.8030885457992554,0.546875,8.75,8.5,7.0
w4v2,0,0817,-7.9735581801838995,37.58301544189453,0.37214353680610657,0.6823307871818542,0.8186604380607605,0.7916666666666666,8.75,8.5,7.0
w4v2,0,0818,-5.021961645114951,60.089656829833984,0.3540583848953247,0.6569727659225464,0.7663788795471191,0.6851851851851852,8.75,9.0,6.0
w4v2,0,0819,-9.004810874007095,51.933746337890625,0.40098217129707336,0.3848535716533661,0.7011022567749023,0.6615384615384615,6.75,5.0,7.0
w4v2,0,0820,-4.431546229721387,55.241966247558594,0.34512859582901,0.6017052531242371,0.7454314231872559,0.671875,6.75,8.5,2.0
w4v2,0,0821,-15.260375068704555,22.704160690307617,0.3257739543914795,0.4462856948375702,0.8344042301177979,0.7142857142857143,2.75,1.0,1.0
w4v2,0,0822,-7.658699404306473,63.40446853637695,0.44754672050476074,0.7722498774528503,0.8082943558692932,0.6481481481481481,9.0,10.0,3.0
w4v2,0,0823,-15.379867821537056,34.11679458618164,0.4484991729259491,0.5771905183792114,0.7548794746398926,0.7068965517241379,7.0,5.0,1.0
w4v2,0,0824,-6.604674017214514,51.791259765625,0.44101035594940186,0.7865538001060486,0.7650116682052612,0.8307692307692308,3.0,1.0,8.0
w4v2,0,0825,-5.9031084097261095,55.001583099365234,0.27149489521980286,0.5603935122489929,0.7594729661941528,0.8823529411764706,8.75,9.0,7.0
w4v2,0,0826,-6.298987814873427,58.240814208984375,0.3228917717933655,0.7770803570747375,0.7559051513671875,0.6909090909090909,5.75,1.5,3.0
w4v2,0,0827,-9.864642672959674,30.824460983276367,0.38399049639701843,0.606678307056427,0.8090918064117432,0.5606060606060606,7.5,5.0,2.0
w4v2,0,0828,-8.018844403450286,64.52693176269531,0.4004683792591095,0.5073711276054382,0.8804773092269897,0.5423728813559322,8.5,8.5,2.0
w4v2,0,0829,-4.094685089247342,59.106929779052734,0.5258350968360901,0.7144672870635986,0.794556200504303,0.6410256410256411,9.0,9.0,7.0
w4v2,0,0830,-8.96550210912517,44.30607986450195,0.3150535821914673,0.4985145032405853,0.7345996499061584,0.65625,8.75,8.5,2.0
