arm,seed,image,niqe,musiq,maniqa,clipiqa,consistency,unique_token_ratio,vlm_grounding_all,vlm_grounding_deep,vlm_quality
ancW10margin_s60,0,0801,-6.764196316719037,47.38432693481445,0.2644790709018707,0.502614438533783,0.7750121355056763,0.5982142857142857,6.5,8.5,8.0
ancW10margin_s60,0,0802,-5.628341445906797,48.077884674072266,0.5264111757278442,0.7293871641159058,0.841934859752655,0.5254237288135594,9.25,9.5,8.0
ancW10margin_s60,0,0803,-6.008812254412271,58.44821548461914,0.572360098361969,0.7874689698219299,0.8549553155899048,0.5454545454545454,9.25,10.0,8.0
ancW10margin_s60,0,0804,-5.432396835794114,56.69460678100586,0.33997055888175964,0.5405616164207458,0.7292783856391907,0.5510204081632653,6.25,5.0,6.0
ancW10margin_s60,0,0805,-14.667744858564578,58.423309326171875,0.5197685956954956,0.6485373973846436,0.7841880321502686,0.3673469387755102,8.0,8.0,8.0
ancW10margin_s60,0,0806,-4.579179531074205,56.01478576660156,0.3263305425643921,0.5949857831001282,0.7393548488616943,0.6111111111111112,4.5,4.5,5.0
ancW10margin_s60,0,0807,-6.396001778032612,55.54910659790039,0.41665685176849365,0.7843791842460632,0.7916125655174255,0.5806451612903226,4.75,1.0,2.0
ancW10margin_s60,0,0808,-8.171291288984392,56.27537536621094,0.42057567834854126,0.7015691995620728,0.7249109745025635,0.6530612244897959,8.5,8.5,7.0
ancW10margin_s60,0,0809,-6.971211805616846,55.73391342163086,0.3964102566242218,0.42424923181533813,0.7742049694061279,0.5333333333333333,6.25,4.5,8.0
ancW10margin_s60,0,0810,-7.3766231145395045,54.828453063964844,0.3285803198814392,0.5173324346542358,0.8053117394447327,0.4326923076923077,8.25,8.0,8.0
ancW10margin_s60,0,0811,-7.432809165196485,42.57160949707031,0.37171119451522827,0.3209640085697174,0.8258423805236816,0.5357142857142857,8.5,9.0,5.0
ancW10margin_s60,0,0812,-5.8833363516940125,45.1534423828125,0.2990990877151489,0.598566472530365,0.7324531078338623,0.5398230088495575,7.5,8.0,7.0
ancW10margin_s60,0,0813,-5.0031519843891346,35.3095703125,0.42343196272850037,0.44001826643943787,0.7454931139945984,0.6770833333333334,4.5,4.5,2.0
ancW10margin_s60,0,0814,-7.79755003134579,57.61586380004883,0.40932995080947876,0.42640310525894165,0.8253495693206787,0.4659090909090909,8.25,8.0,7.0
ancW10margin_s60,0,0815,-5.169725241669679,65.33556365966797,0.518541157245636,0.719355583190918,0.8082079291343689,0.5212765957446809,8.5,8.5,3.0
ancW10margin_s60,0,0816,-5.335635050783317,63.539466857910156,0.33790257573127747,0.7754508852958679,0.7616598010063171,0.47115384615384615,8.25,8.0,7.0
ancW10margin_s60,0,0817,-5.411479345388579,61.11433029174805,0.47060856223106384,0.6503627896308899,0.8446438312530518,0.49038461538461536,6.5,5.0,7.0
ancW10margin_s60,0,0818,-6.995271557557815,57.390419006347656,0.3664834797382355,0.7833016514778137,0.7666568756103516,0.49473684210526314,6.25,4.5,3.0
ancW10margin_s60,0,0819,-15.013517861960398,39.49231719970703,0.4832605719566345,0.5121014714241028,0.689108669757843,0.7142857142857143,6.5,4.5,3.0
ancW10margin_s60,0,0820,-5.134046062083512,61.36983108520508,0.3306220471858978,0.6900924444198608,0.7708460688591003,0.5688073394495413,4.0,4.5,6.0
ancW10margin_s60,0,0821,-14.579686226274978,23.47812271118164,0.2823624312877655,0.42250537872314453,0.8525159358978271,0.46153846153846156,2.75,1.0,1.0
ancW10margin_s60,0,0822,-9.412195901596801,68.42093658447266,0.4447476863861084,0.8207632303237915,0.8056323528289795,0.5740740740740741,7.75,8.5,5.0
ancW10margin_s60,0,0823,-10.424961843085638,36.955902099609375,0.44716688990592957,0.6145102977752686,0.7561150193214417,0.5739130434782609,6.5,4.5,1.0
ancW10margin_s60,0,0824,-5.977083367837164,42.758975982666016,0.4294608533382416,0.551655113697052,0.8271698951721191,0.696969696969697,8.25,8.0,2.0
ancW10margin_s60,0,0825,-4.474816565192225,51.83940124511719,0.21045148372650146,0.4484426975250244,0.7459455132484436,0.631578947368421,6.75,5.0,3.0
ancW10margin_s60,0,0826,-5.752052591286433,62.326725006103516,0.3785962760448456,0.7975553274154663,0.7574317455291748,0.5757575757575758,8.0,8.0,7.0
ancW10margin_s60,0,0827,-11.452429693302694,25.39155387878418,0.33092236518859863,0.16588221490383148,0.8401468992233276,0.6588235294117647,3.0,1.0,1.0
ancW10margin_s60,0,0828,-6.336678271051968,54.940860748291016,0.38988354802131653,0.612605094909668,0.837346613407135,0.4727272727272727,8.0,8.0,3.0
ancW10margin_s60,0,0829,-3.937083326655444,53.839622497558594,0.4297075569629669,0.6315905451774597,0.7825899124145508,0.46017699115044247,4.5,4.5,7.0
ancW10margin_s60,0,0830,-6.017634388768001,48.566612243652344,0.36134159564971924,0.7078723907470703,0.7241761088371277,0.6222222222222222,8.25,8.5,3.0
